citing_row	citing_paper	inferred_rating	reference
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	CCF-A	[34] Tsung-Yi Lin, Michael Maire, Serge Belongie, James Hays, [49] Zongwei Wu, Jilai Zheng, Xiangxuan Ren, Florin-Alexandru Pietro Perona, Deva Ramanan, Piotr Dollár, and C Lawrence Vasluianu, Chao Ma, Danda Pani Paudel, Luc Van Gool, and Zitnick. Microsoft coco: Common objects in context. In Radu Timofte. Single-model and any-modality for video ob- ECCV, 2014. 3 ject tracking. In CVPR, 2024. 2, 3, 6, 7
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	CCF-A	[37] Christoph Mayer, Martin Danelljan, Danda Pani Paudel, and [53] Song Yan, Jinyu Yang, Jani Käpylä, Feng Zheng, Aleš Luc Van Gool. Learning target candidate association to keep Leonardis, and Joni-Kristian Kämäräinen. Depthtrack: Un- track of what not to track. In ICCV, 2021. 6 veiling the power of rgbd tracking. In ICCV, 2021. 1, 2, 6,
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	CCF-B	[38] Matthias Muller, Adel Bibi, Silvio Giancola, Salman Al- 7 subaihi, and Bernard Ghanem. Trackingnet: A large-scale [54] Jinyu Yang, Zhe Li, Song Yan, Feng Zheng, Aleš Leonardis, dataset and benchmark for object tracking in the wild. In Joni-Kristian Kämäräinen, and Ling Shao. Rgbd ob- ECCV, 2018. 1, 3 ject tracking: An in-depth review. arXiv preprint
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	CCF-A	[41] Carlos Riquelme, Joan Puigcerver, Basil Mustafa, Maxim [57] Hui Zhang, Lei Zhang, Li Zhuo, and Jing Zhang. Object Neumann, Rodolphe Jenatton, André Susano Pinto, Daniel tracking in RGB-T videos using modal-aware attention net- Keysers, and Neil Houlsby. Scaling vision with sparse mix- work and competitive learning. Sensors, page 393, 2020. 6 ture of experts. NeurIPS, 34:8583–8595, 2021. 3 [58] Jiqing Zhang, Xin Yang, Yingkai Fu, Xiaopeng Wei, Bao-
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	CCF-A	[45] Xiao Wang, Jianing Li, Lin Zhu, Zhipeng Zhang, Zhe Chen, 3335–3347, 2021. 6 Xin Li, Yaowei Wang, Yonghong Tian, and Feng Wu. Visev- [62] Pengyu Zhang, Jie Zhao, Dong Wang, Huchuan Lu, and ent: Reliable object tracking via collaboration of frame and Xiang Ruan. Visible-thermal uav tracking: A large-scale event flows. TCYB, pages 1–14, 2023. 2, 6, 7 benchmark and new baseline. In CVPR, 2022. 2
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	CCF-A	[46] Xiao Wang, Shiao Wang, Chuanming Tang, Lin Zhu, Bo [63] Yiyuan Zhang, Kaixiong Gong, Kaipeng Zhang, Hongsheng Jiang, Yonghong Tian, and Jin Tang. Event stream-based Li, Yu Qiao, Wanli Ouyang, and Xiangyu Yue. Meta- visual object tracking: A high-resolution benchmark dataset transformer: A unified framework for multimodal learning. and a novel baseline. In CVPR, 2024. 1 arXiv preprint arXiv:2307.10802, 2023. 3 5743
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	CCF-A	[68] Xue-Feng Zhu, Tianyang Xu, Zhangyong Tang, Zucheng Wu, Haodong Liu, Xiao Yang, Xiao-Jun Wu, and Josef Kit- tler. Rgbd1k: A large-scale dataset and benchmark for rgb-d object tracking. In AAAI, 2023. 1, 2, 6
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	CCF-A	[69] Xue-Feng Zhu, Tianyang Xu, Zhangyong Tang, Zucheng Wu, Haodong Liu, Xiao Yang, Xiao-Jun Wu, and Josef Kit- tler. Rgbd1k: A large-scale dataset and benchmark for rgb-d object tracking. In AAAI, 2023. 6
33	UniRTL: A universal RGBT and low-light benchmark for object tracking	CCF-B	data associator via FTP. The detector consists of a unified input, feature fusion module, backbone, and unified head. The interactive neural [1] H. Fan, L. Lin, F. Yang, P. Chu, G. Deng, S. Yu, H. Bai, Y. Xu, C. Liao, H. Ling, LaSOT: A high-quality benchmark for large-scale single object tracking, network (INN) efficiently integrate RGBT-L2 data information. The in: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern associator makes full use of the similarity between low-score detection Recognition, 2019, pp. 5374–5383. boxes and tracklets to recover all true targets and filter background [2] M. Muller, A. Bibi, S. Giancola, S. Alsubaihi, B. Ghanem, TrackingNet: A large- detection. The box feature mask (FTP) in the first frame enhances scale dataset and benchmark for obj
33	UniRTL: A universal RGBT and low-light benchmark for object tracking	CAS-Q1	[26] S. Woo, K. Park, I. Shin, M. Kim, I. Kweon, MTMMC: A large-scale real-world multi-modal camera tracking benchmark, in: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition, 2024, pp. 22335–22346.
33	UniRTL: A universal RGBT and low-light benchmark for object tracking	CAS-Q1	[27] Q. Xu, L. Wang, W. Sheng, Y. Wang, C. Xiao, C. Ma, W. An, Heterogeneous graph transformer for multiple tiny object tracking in RGB-T videos, IEEE Trans. Mingkun Chen received the BS degree from Changchun Multimedia (2024) 1–14. University of Science and Technology. Now he is working
34	Prototype-based cross-modal object tracking	CAS-Q1	[44] J. Yang, Z. Li, F. Zheng, A. Leonardis, J. Song, Prompting for multi-modal track- [68] H. Fan, L. Lin, F. Yang, P. Chu, G. Deng, S. Yu, H. Bai, Y. Xu, C. Liao, H. ing, in: Proceedings of the 30th ACM International Conference on Multimedia, Ling, Lasot: A high-quality benchmark for large-scale single object tracking, in: 2022, pp. 3492–3500. Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition,
36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	CCF-A	[6] X. Wei, Y. Bai, Y. Zheng, D. Shi, and Y. Gong, “Autoregressive visual [33] J. Lu, C. Clark, R. Zellers, R. Mottaghi, and A. Kembhavi, “Unified-IO: tracking,” in Proc. CVPR, Piscataway, NJ, USA: IEEE, 2023, pp. 9697– A unified model for vision, language, and multi-modal tasks,” in Proc.
36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	CAS-Q2	[13] H. Zhang, S. Chen, L. Luo, and J. Yang, “Few-shot learning with long- tation regularized graph learning for RGB-T object tracking,” in Proc. tailed labels,” Pattern Recognit., vol. 156, 2024, Art. no. 110806. 25th ACM Int. Conf. Multimedia, 2017, pp. 1856–1864.
36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	CCF-A	[18] W. Fang, J. Fan, Y. Zheng, J. Weng, Y. Tai, and J. Li, “Guided real RGB-D object tracking,” Proc. AAAI Conf. Artif. Intell., vol. 37, no. 3, image dehazing using YCbCr color space,” 2024, arXiv:2412.17496. pp. 3870–3878, 2023.
36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	CCF-A	[30] S. Yan, J. Yang, J. Käpylä, F. Zheng, A. Leonardis, and J.-K. Kämäräi- [55] X. Zhu et al., “RGBD1K: A large-scale dataset and benchmark for RGB- nen, “DepthTrack: Unveiling the power of RGBD tracking,” in Proc. D object tracking,” in Proc. AAAI, Washington, DC, USA: AAAI Press, IEEE/CVF Int. Conf. Comput. Vis., 2021, pp. 10725–10733. 2023, pp. 3870–3878.
36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	CAS-Q2	[32] X. Wang et al., “VisEvent: Reliable object tracking via collaboration no. 4, pp. 5158–5173, Apr. 2023. of frame and event flows,” IEEE Trans. Cybern., vol. 54, no. 3, pp. [57] H. Sun et al., “Reliable object tracking by multimodal hybrid feature 1997–2010, Mar. 2024. extraction and transformer-based fusion,” 2024, arXiv:2405.17903. Authorized licensed use limited to: Guangdong Univ of Tech. Downloaded on May 22,2026 at 09:37:44 UTC from IEEE Xplore. Restrictions apply. HU et al.: ADAPTIVE PERCEPTION FOR UNIFIED VISUAL MULTIMODAL OBJECT TRACKING 2829
36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	CCF-B	[58] S. Lai, D. Wang, and H. Lu, “DepthRefiner: Adapting RGB trackers [64] C. Xue, B. Zhong, Q. Liang, H. Xia, and S. Song, “Unifying motion to RGBD scenes via depth-fused refinement,” in Proc. IEEE Int. Conf. and appearance cues for visual tracking via shared queries,” IEEE Trans. Multimedia Expo (ICME), Piscataway, NJ, USA: IEEE, 2024, pp. 1–6. Circuits Syst. Video Technol., vol. 35, no. 3, pp. 1987–1998, Mar. 2025.
42	Onetracker: Unifying visual object tracking with foundation models and efficient tuning	CAS-Q1	Training Strategy. We analyze the training strategy of [1] Ali Athar, Alexander Hermans, Jonathon Luiten, Deva our Prompt Tracker on RGB+X tracking tasks in Table 4. Ramanan, and Bastian Leibe. Tarvis: A unified ap- We investigate different approaches to jointly training the proach for target-based video segmentation. arXiv preprint Prompt Tracker on multiple RGB+X datasets. From the first arXiv:2301.02657, 2023. 2, 3, 5, 7, 1 to the fourth row, we jointly train Prompt Tracker on the [2] Armin Bahl, Georg Ammer, Tabea Schilling, and Alexan- combination of several RGB+X datasets. In the first row, der Borst. Object tracking in motion-blind flies. Nature we train the Prompt Tracker by only separating the embed- neuroscience, 16(6):730–738, 2013. 1 ding layers for different modalities.. In th
